,X,Y,time,distance,ts,dt,speed_m_s,speed_kmh
1431,-0.050856359,51.494456073,2025/01/14 07:51:39+00,5.052692730778684,2025-01-14 07:51:39+00:00,1.0,5.052692730778684,18.189693830803265
1432,-0.050901035,51.494465545,2025/01/14 07:51:40+00,5.078168565292539,2025-01-14 07:51:40+00:00,1.0,5.078168565292539,18.28140683505314
1433,-0.050945878,51.494474933,2025/01/14 07:51:41+00,5.094413643777763,2025-01-14 07:51:41+00:00,1.0,5.094413643777763,18.33988911759995
1434,-0.050990218,51.494482895,2025/01/14 07:51:42+00,5.009240728472589,2025-01-14 07:51:42+00:00,1.0,5.009240728472589,18.033266622501323
1435,-0.051034726,51.494490942,2025/01/14 07:51:43+00,5.029301446278701,2025-01-14 07:51:43+00:00,1.0,5.029301446278701,18.105485206603326
1436,-0.051077055,51.494498318,2025/01/14 07:51:44+00,4.77769492510992,2025-01-14 07:51:44+00:00,1.0,4.77769492510992,17.199701730395713
1437,-0.051119467,51.494505778,2025/01/14 07:51:45+00,4.788396590475844,2025-01-14 07:51:45+00:00,1.0,4.788396590475844,17.23822772571304
1438,-0.051157437,51.494512232,2025/01/14 07:51:46+00,4.282628944078203,2025-01-14 07:51:46+00:00,1.0,4.282628944078203,15.41746419868153
1439,-0.051195575,51.494518602,2025/01/14 07:51:47+00,4.2994980543175325,2025-01-14 07:51:47+00:00,1.0,4.2994980543175325,15.478192995543118
1440,-0.051234635,51.494523128,2025/01/14 07:51:48+00,4.372334195838829,2025-01-14 07:51:48+00:00,1.0,4.372334195838829,15.740403105019785
1441,-0.051273862,51.494527739,2025/01/14 07:51:49+00,4.391874215762723,2025-01-14 07:51:49+00:00,1.0,4.391874215762723,15.810747176745803
1442,-0.051316274,51.494530924,2025/01/14 07:51:50+00,4.7292784847334515,2025-01-14 07:51:50+00:00,1.0,4.7292784847334515,17.025402545040425
1443,-0.051358771,51.494534109,2025/01/14 07:51:51+00,4.738703567396676,2025-01-14 07:51:51+00:00,1.0,4.738703567396676,17.059332842628034
1444,-0.051401434,51.494537629,2025/01/14 07:51:52+00,4.760028646968464,2025-01-14 07:51:52+00:00,1.0,4.760028646968464,17.13610312908647
1445,-0.051444266,51.494541066,2025/01/14 07:51:53+00,4.778010136243626,2025-01-14 07:51:53+00:00,1.0,4.778010136243626,17.200836490477055
1446,-0.05148584,51.494548107,2025/01/14 07:51:54+00,4.688647335218618,2025-01-14 07:51:54+00:00,1.0,4.688647335218618,16.879130406787024
1447,-0.051527582,51.494555064,2025/01/14 07:51:55+00,4.705522271694232,2025-01-14 07:51:55+00:00,1.0,4.705522271694232,16.939880178099234
1448,-0.051570078,51.494561266,2025/01/14 07:51:56+00,4.775397868534396,2025-01-14 07:51:56+00:00,1.0,4.775397868534396,17.191432326723827
1449,-0.051612575,51.494567469,2025/01/14 07:51:57+00,4.77552395669952,2025-01-14 07:51:57+00:00,1.0,4.77552395669952,17.191886244118272
1450,-0.051658256,51.4945699,2025/01/14 07:51:58+00,5.086683008991485,2025-01-14 07:51:58+00:00,1.0,5.086683008991485,18.312058832369345
1451,-0.051703937,51.494572414,2025/01/14 07:51:59+00,5.087181810767297,2025-01-14 07:51:59+00:00,1.0,5.087181810767297,18.31385451876227
1452,-0.051756576,51.494570738,2025/01/14 07:52:00+00,5.8561558382306185,2025-01-14 07:52:00+00:00,1.0,5.8561558382306185,21.082161017630227
1453,-0.05180913,51.494569145,2025/01/14 07:52:01+00,5.846422163516077,2025-01-14 07:52:01+00:00,1.0,5.846422163516077,21.047119788657877
1454,-0.051861852,51.494566128,2025/01/14 07:52:02+00,5.872009798179376,2025-01-14 07:52:02+00:00,1.0,5.872009798179376,21.139235273445756
1455,-0.051914575,51.49456311,2025/01/14 07:52:03+00,5.87212716509099,2025-01-14 07:52:03+00:00,1.0,5.87212716509099,21.13965779432756
1456,-0.051961932,51.494558081,2025/01/14 07:52:04+00,5.295466508891032,2025-01-14 07:52:04+00:00,1.0,5.295466508891032,19.063679432007714
1457,-0.052009458,51.49455322,2025/01/14 07:52:05+00,5.312220492175039,2025-01-14 07:52:05+00:00,1.0,5.312220492175039,19.123993771830143
1458,-0.05204902,51.494546933,2025/01/14 07:52:06+00,4.454294693727817,2025-01-14 07:52:06+00:00,1.0,4.454294693727817,16.035460897420144
1459,-0.052088751,51.494540647,2025/01/14 07:52:07+00,4.472837346936604,2025-01-14 07:52:07+00:00,1.0,4.472837346936604,16.102214448971775
1460,-0.052122362,51.494535115,2025/01/14 07:52:08+00,3.787656209387921,2025-01-14 07:52:08+00:00,1.0,3.787656209387921,13.635562353796516
1461,-0.052155973,51.494529666,2025/01/14 07:52:09+00,3.7861683072678463,2025-01-14 07:52:09+00:00,1.0,3.7861683072678463,13.630205906164246
1462,-0.052194949,51.494527822,2025/01/14 07:52:10+00,4.338781167873427,2025-01-14 07:52:10+00:00,1.0,4.338781167873427,15.619612204344339
1463,-0.052233925,51.494525895,2025/01/14 07:52:11+00,4.339227115811377,2025-01-14 07:52:11+00:00,1.0,4.339227115811377,15.621217616920957
1464,-0.052277846,51.494527906,2025/01/14 07:52:12+00,4.888908945274711,2025-01-14 07:52:12+00:00,1.0,4.888908945274711,17.600072202988958
1465,-0.052321767,51.494529918,2025/01/14 07:52:13+00,4.8889140324086355,2025-01-14 07:52:13+00:00,1.0,4.8889140324086355,17.600090516671088
1466,-0.052363174,51.494529499,2025/01/14 07:52:14+00,4.6044840482957,2025-01-14 07:52:14+00:00,1.0,4.6044840482957,16.57614257386452
1467,-0.052404664,51.494529163,2025/01/14 07:52:15+00,4.6136287868638,2025-01-14 07:52:15+00:00,1.0,4.6136287868638,16.60906363270968
1468,-0.052447831,51.494520111,2025/01/14 07:52:16+00,4.904349932266976,2025-01-14 07:52:16+00:00,1.0,4.904349932266976,17.655659756161114
1469,-0.052491082,51.494511142,2025/01/14 07:52:17+00,4.911609548911256,2025-01-14 07:52:17+00:00,1.0,4.911609548911256,17.681794376080525
1470,-0.052538021,51.494497899,2025/01/14 07:52:18+00,5.423129013277046,2025-01-14 07:52:18+00:00,1.0,5.423129013277046,19.523264447797366
1471,-0.052585043,51.494484739,2025/01/14 07:52:19+00,5.4295173718623255,2025-01-14 07:52:19+00:00,1.0,5.4295173718623255,19.546262538704372
1472,-0.052627958,51.49447158,2025/01/14 07:52:20+00,4.991223506243504,2025-01-14 07:52:20+00:00,1.0,4.991223506243504,17.968404622476616
1473,-0.052670874,51.494458588,2025/01/14 07:52:21+00,4.985917743155515,2025-01-14 07:52:21+00:00,1.0,4.985917743155515,17.949303875359853
1474,-0.052713621,51.494449871,2025/01/14 07:52:22+00,4.851071632412097,2025-01-14 07:52:22+00:00,1.0,4.851071632412097,17.46385787668355
1475,-0.052756453,51.494441321,2025/01/14 07:52:23+00,4.856663780890967,2025-01-14 07:52:23+00:00,1.0,4.856663780890967,17.483989611207484
1476,-0.052797273,51.494435035,2025/01/14 07:52:24+00,4.592479921094075,2025-01-14 07:52:24+00:00,1.0,4.592479921094075,16.53292771593867
1477,-0.052838176,51.494428664,2025/01/14 07:52:25+00,4.603046940361175,2025-01-14 07:52:25+00:00,1.0,4.603046940361175,16.57096898530023
